,quiz.sport.q1.question,quiz.sport.q1.options,quiz.sport.q1.answer,quiz.maths.q1.question,quiz.maths.q1.options,quiz.maths.q1.answer,quiz.maths.q2.question,quiz.maths.q2.options,quiz.maths.q2.answer
22,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,3,4
23,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,4,4
24,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,1,4
25,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,2,4
26,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,3,4
27,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,4,4
28,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,1,4
29,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,2,4
30,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,3,4
31,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,4,4
32,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,1,4
33,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,2,4
34,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,3,4
35,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,4,4
36,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,1,4
37,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,2,4
38,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,3,4
39,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,4,4
40,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,1,4
41,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,2,4
42,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,3,4
43,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,4,4
44,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,1,4
45,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,2,4
46,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,3,4
47,Which one is correct team name in NBA?,Golden State Warriros,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,4,4
48,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,1,4
49,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,2,4
50,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,3,4
51,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,4,4
52,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,1,4
53,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,2,4
54,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,3,4
55,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,4,4
56,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,1,4
57,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,2,4
58,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,3,4
59,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,4,4
60,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,1,4
61,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,2,4
62,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,3,4
63,Which one is correct team name in NBA?,Huston Rocket,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,4,4
