,myint,myfloat,glossary.title,glossary.keywords,glossary.list,glossary.list_objs.servlet-name,glossary.list_objs.servlet-class
85,556,89.345,345example glossary,34f,33.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
86,556,89.345,345example glossary,34f,33.0,88 fileServlet,99 org.cofax.cds.FileServlet
87,556,89.345,345example glossary,34f,33.0,657 fileServlet,575467 org.cofax.cds.FileServlet
88,556,89.345,345example glossary,34f,34.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
89,556,89.345,345example glossary,34f,34.0,88 fileServlet,99 org.cofax.cds.FileServlet
90,556,89.345,345example glossary,34f,34.0,657 fileServlet,575467 org.cofax.cds.FileServlet
91,556,89.345,345example glossary,34f,35.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
92,556,89.345,345example glossary,34f,35.0,88 fileServlet,99 org.cofax.cds.FileServlet
93,556,89.345,345example glossary,34f,35.0,657 fileServlet,575467 org.cofax.cds.FileServlet
94,556,89.345,345example glossary,34f,36.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
95,556,89.345,345example glossary,34f,36.0,88 fileServlet,99 org.cofax.cds.FileServlet
96,556,89.345,345example glossary,34f,36.0,657 fileServlet,575467 org.cofax.cds.FileServlet
97,556,89.345,345example glossary,34f,24.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
98,556,89.345,345example glossary,34f,24.0,88 fileServlet,99 org.cofax.cds.FileServlet
99,556,89.345,345example glossary,34f,24.0,657 fileServlet,575467 org.cofax.cds.FileServlet
100,556,89.345,345example glossary,34f,25.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
101,556,89.345,345example glossary,34f,25.0,88 fileServlet,99 org.cofax.cds.FileServlet
102,556,89.345,345example glossary,34f,25.0,657 fileServlet,575467 org.cofax.cds.FileServlet
103,556,89.345,345example glossary,34f,26.0,66 cofaxAdmin,77  org.cofax.cds.AdminServlet
104,556,89.345,345example glossary,34f,26.0,88 fileServlet,99 org.cofax.cds.FileServlet
105,556,89.345,345example glossary,34f,26.0,657 fileServlet,575467 org.cofax.cds.FileServlet
